question	label
糖尿病能治愈吗	1
哺乳期糖尿病人可以治疗吗	1
查糖尿病能吃饭吗	0
糖尿病患者颈动脉堵塞能做手术吗	1
二型糖尿病能不能做手术，不想再依赖药物	1
糖尿病会导致舌头麻痹吗	4
糖尿病人越来越瘦吃什么药好	1
糖尿病患者低血糖如何治疗	1
鼻咽癌伴有糖尿病,怎么治疗	1
糖尿病患者能吃黄豆豆浆吗	3
请问糖尿病会引起血液中白蛋白偏低吗	4
高血压和糖尿病不能吃羊肉吗	3
糖尿病人视网膜脱落做手术能好吗	1
2岁小孩糖尿病能治好吗	2
1型糖尿病病人能不能吃薯片	3
糖尿病失明是不是已经很严重	0
糖尿病玻璃体混浊会不会失明	5
糖尿病患者脚麻吃什么药	1
糖尿病都不可以吃什么	3
糖尿病肾病能喝羊奶吗	3
糖尿病会不会影响生宝宝	2
糖尿病患者如何去医院检查神经病变	0
糖尿病餐后2小时正常值的范围是多少	0
肝性糖尿病如何治疗	1
糖尿病面瘫能治愈吗	1
糖尿病人可以吃百香果吗	3
早期糖尿病男性症状	0
糖尿病意识不清的原因	2
2型糖尿病感冒吃什么药	1
糖尿病患者患白癜风怎么办	1
糖尿病人视力模糊怎么办	1
糖尿病人可以吃松子么	3
吃松花粉对控制糖尿病有没有帮助呢	3
糖尿病可否治愈	1
糖尿病膝盖肿痛怎么办	1
血糖仪试纸价格	5
糖尿病患者全身痒怎么办	2
甲减会导致糖尿病吗	2
糖尿病褥疮能用康复新液吗	1
糖尿病会引发癌症吗	4
糖尿病孕妇可以吃梨子吗	3
糖尿病人可以打耳洞吗	5
糖尿病人血糖高降不下来怎么办	1
尿糖1个加号怎么回事？	0
糖尿病人得眩晕症怎么回事	2
糖尿病微血管并发症有哪些	4
妊娠期糖尿病可以吃什么	3
打了胰岛素血糖还是降不下来	1
糖尿病的早期能治愈吗	1
糖尿病怀孕对孩子有什么影响	2
糖尿病会引起斑秃吗	4
高血压糖尿病患者可以吃海带吗	3
引起糖尿病的因素有哪些	2
糖尿病人为什么晚上尿多	2
糖尿病人喝纯奶能发胖吗	3
糖尿病会出现血尿吗	4
糖尿病胃轻瘫可以吃绿豆汤吗	3
丙酸尿症和枫糖尿病的区别	2
2型糖尿病可以骨髓移植吗	1
1型糖尿病是先天性的吗	2
糖尿病患者为什么不硬	2
血糖过高会有哪些症状	0
i型糖尿病与肾虚有关系吗	2
糖尿病不能吃海带吗	3
30年糖尿病患者还能活多久	5
妊娠糖尿病生完后多久能恢复正常	2
苦瓜对糖尿病吃有什么好处	3
糖尿病患者可以吃沙虫干吗	1
癌症与糖尿病有关吗	5
糖尿病能吃蛋白粉吗	3
糖尿病人能服蛋白粉吗	3
糖尿病人可以吃薏仁、绿豆、米仁粥吗	3
糖尿病褥疮破皮出脓,流血,该怎么办	1
糖尿病什么时候吃香蕉	3
糖尿病患者可以吃瘦肉鸡蛋吗	3
2型糖尿病人可以吃蜂蜜吗	3
糖尿病人能吃杏仁吗	3
胰岛素饭前打还是饭后打	1
糖尿病能导致头晕嘛	4
糖尿病人吃茼蒿的好处	3
包皮过长，有糖尿病能做手术吗。	1
糖尿病并发肾囊肿怎么治疗	4
糖尿病下肢血栓什么情况要截肢	1
糖尿病会导致不孕吗	4
糖尿病喝柠檬水好吗	3
糖尿病患者可以吃玉米和小麦之类的食物吗	3
70几岁的老年人有糖尿病可以吃什么钙片	3
降血糖的食物有哪些	3
偏瘦型糖尿病可以喝酸奶吗	3
糖尿病遗传吗？	2
蛋黄酥糖尿病可以吃吗	3
糖尿病是个很小的病吗	5
2型糖尿病会引起不育吗	2
糖尿病为什么会出现酮症酸中毒	2
糖尿病下肢动脉硬化症怎么办	1
糖尿病能做包皮手术吗	1
血糖仪多少钱一个	5
2型糖尿病最常见的急性并发症	4
打葡萄糖吊针对糖尿病人有什么影响	5
吃糖真会得糖尿病吗	2
糖尿病人冬天外出旅游要注意什么	5
糖尿病会引起肛门湿疹吗	4
糖尿病酮症能治好吗	1
血糖高能吃什么水果好	3
得了糖尿病后饮食该怎样注意	3
肠转流手术能治好糖尿病吗	1
1型儿童糖尿病能治好吗	2
初期糖尿病人怎么治疗	1
糖尿病患者突然恶心呕吐什么原因	2
糖尿病是不是容易饿	2
吃药控制糖尿病的情况下，可以要小孩吗	2
1型糖尿病会发生胰岛素抵抗吗	2
糖尿病截肢了肺部感染能活多久	5
初期糖尿病患者要注意哪些方面	5
糖尿病手术后血糖很高怎么办	1
胆结石患者有糖尿病有什么好的治疗方法	1
糖尿病患者容易得肝癌吗	5
餐后2小时血糖6.5正常吗？	0
调降丸对糖尿病是否有益	1
糖尿病大便干能不能吃猕猴桃	3
患糖尿病的人可不可以吃999感冒灵	1
产后血糖15算糖尿病吗	0
2型糖尿病最常见的死亡原因	2
患糖尿病的女人能要孩子吗	2
糖尿病人得了蛇缠腰怎么治疗	1
1岁宝宝怎么确定得了糖尿病	0
糖尿病人患食道癌可以手术吗	1
糖尿病眼睛爱流泪吗	5
糖筛多少钱	5
糖尿病可以吃枇杷果吗	3
糖尿病肌酐500多一定要透析吗	1
糖尿病可以吃糖姜片吗	3
1型糖尿病能喝中药吗	1
糖尿病脚趾头水泡破裂怎么治疗	1
糖尿病大腿麻木怎么办	1
糖尿病头痛是什么原因	2
打胰岛素的糖尿病患者能饮酒吗	3
请问糖尿病可以吃燕窝吗	3
吃一次拉一次跟糖尿病有关吗	0
糖尿病酮症酸中毒需要吸氧吗	1
1型糖尿病病人能不能吃木糖醇八宝粥呢，	3
糖尿病能吃西米吗	3
9岁儿童糖尿病能活多久	5
糖尿病人能喝筒子骨汤吗	3
糖尿病患者脚起疱了该怎么办	1
请问，糖尿病人能喝绿茶吗	3
糖尿病人能吃西瓜皮吗	3
糖尿病能吃煮玉米棒吗	3
糖尿病血常规能查出来吗	0
糖尿病打胰岛素血糖忽高忽低怎么办	1
糖尿病水果那种可以吃	3
糖尿病会导致尿路感染吗	4
吃发酵豆子能治愈糖尿病吗	1
糖尿病人可以喝柠檬泡水吗	3
请问：糖尿病人能长期吃蘑芋豆腐吗	3
血糖偏高能吃蜂蜜吗	3
血糖8.7怎么办	1
高胰岛素雪症用什么药啊	1
糖化血红蛋白7.5意味着什么	0
糖尿病病人可以喝豆浆么	3
女性早期糖尿病能喝豆浆吗	3
餐后两小时测血糖5.7正常吗	0
糖尿病者可以喝咖啡吗	3
糖尿病能吃哪种水果	3
糖尿病心脏病吃什么食物好	3
糖尿病眼病能吃南瓜吗	3
打胰岛素的糖尿病病人有何不良反应	5
糖尿病小腿出现色斑怎么回事	2
糖尿病肌酐700还能活多久	5
糖尿病会使肿瘤指数偏高很多吗	4
糖尿病引起蛋白尿怎么治疗	1
糖尿病人能吃氨酚咖匹林片吗	1
糖尿病会引起手脚发痒吗	4
肝癌糖尿病能活多久	5
桂圆加水煮熟不放糖,糖尿病人能喝和吃吗	3
2型糖尿病能吃西红柿吗	3
糖尿病人必须要减肥才行吗	3
糖尿病下午饿了吃什么好	3
糖尿病代谢紊乱表现	0
糖尿病人可以吃包子和馒头吗	3
糖尿病大脚趾甲沟炎有脓怎么办	1
二型糖尿病什么情况下可以停药	1
产妇糖尿病能吃芹菜吗	3
吃什么东西治糖尿病最好	1
饭后血糖是8.9算是糖尿病吗	0
糖尿病睡前喝牛奶到底好不好	3
糖尿病人能不能吃海参小米粥	3
糖尿病大腿骨疼痛吗	5
糖尿病人做心脏ct注意什么	0
糖尿病人能吃李子水果吗	3
糖尿病能吃香蕉吗	3
糖尿病会引起身体淋巴结肿大吗	4
糖尿病引起包茎外皮裂口怎么办	1
葛根和丹参和翻白草在一起能治糖尿病吗	1
长期吃什么东西会得糖尿病	5
高血压糖尿病人能活多久	5
糖尿病会影响性功能吗	4
糖尿病引起腹泻怎么办	1
二胎糖尿病不想活了	5
妊娠期糖尿病可以吃玉米吗	3
吃山楂对糖尿病有什么好处	3
产妇剖腹产第一周糖尿病吃什么	3
白萝卜的含糖量多少，糖尿病人能吃吗	3
血糖高能喝纯牛奶吗	3
糖尿病人会发生便秘吗	4
糖尿病腿部神经病变怎么治疗	1
糖尿病会引起痛风发作吗	4
糖尿病会导致失眠吗	4
糖尿病的判断标准有哪些	0
糖尿病人胃胀不想吃东西	1
糖尿病能吃弥核桃吗	3
二甲双胍在什么时间服用	1
糖尿病可以吃鸡肉吗糖尿病可以吃鸡肉吗	3
糖筛检查需要多少钱	5
血糖过低会有什么后果	2
多囊卵巢引起的糖尿病会好吗	2
糖尿病患者能不能吃鱼肝油	3
糖尿病人老咳嗽怎么办	1
黑米含糖量高吗糖尿病可以吃吗	3
儿童糖尿病酮症酸中毒能治愈吗	1
糖尿病会导致身体出现像带有脓的豆豆吗	4
请问雪莲能治肝病和糖尿病吗	1
糖尿病能吃什么菜	3
南瓜能降血糖吗	3
低血糖和糖尿病一样吗	2
糖尿病会引发血管炎吗	4
糖尿病患者如何补血	3
吃潘石榴为什么可以预防糖尿病	4
糖尿病肾病可以预防吗	4
糖尿病可以吃蒜苔吗	3
吃过饭一会就感到饿，是糖尿病吗	0
糖尿病十年血压突然升高咋回事	2
老人糖尿病怎么办	1
糖尿病适合吃鸡蛋吗	3
出现糖尿病并发症怎么办，例如视力模糊。	0
患糖尿病和胆结石是否一定要手术呢	1
多发腔隙性脑梗塞伴糖尿病如何治疗	1
糖尿病患者为什么不能泡脚	3
空腹血糖5.4是个什么水平	0
糖尿病患者皮肤溃烂怎么办	1
糖尿病并发肾衰竭怎么办	4
糖尿病人可服用阿胶吗	3
糖尿病肌酐多少正常	0
最好的降血糖药是什么	1
血糖多高能确诊糖尿病	0
老人糖尿病什么原因	2
糖尿病为什么会引起伤口难愈合	2
2型糖尿病人血糖控制到多少可停胰岛素	1
海狗活胰生物酶能治好糖尿病吗	1
大人妊娠期糖尿病对小孩有什么影响	5
ii型糖尿病是什么引起的	2
妊娠糖尿病吃饭可以喝汤吗	3
吃点糖血糖就高，不吃后就好了，是糖尿病吗	0
糖尿病喝全脂牛奶还是脱脂牛奶	3
打葡萄糖打多了是否能得糖尿病	2
糖尿病人可以吃香椿吗	3
血糖降不下来怎么办	1
血糖高吃米饭还是馒头	3
吃糖果冻餐后血糖会升吗	3
糖尿病肾病能吃甲鱼吗	3
糖尿病肾病尿常规多长时间检查一次	0
糖尿病患者可以自己停药吗	1
冰箱的西瓜可以解决糖尿病人的口渴吗	5
三岁宝宝糖尿病是什么原因造成的	2
糖尿病会导致妇科病吗	4
糖尿病冬天适合吃什么水果呢	3
得了糖尿病吃什么药最有效	1
尿液闻起来带甜味就是糖尿病吗	0
产后得了糖尿病怎么办	1
糖尿病患者能吃玉米面窝窝头吗	3
糖尿病会引起酮中毒吗	4
请问糖尿病可以吃桃子吗	3
糖尿病患者却要整天喝酒熬夜，怎么办	1
糖尿病患者可以用空气加湿器吗	5
测血糖能判断出糖尿病吗	0
艾兹病初期和糖尿病有哪些不同表现	2
糖尿病人感觉头晕、困乏是什么原因	2
父母都有糖尿病我血压也比较高怎么办	1
1型糖尿病严重还是2型糖尿病严重	2
1型糖尿病怎么控制好血糖	1
糖尿病人褥疮怎么治疗	1
2型糖尿病人为何在血糖正常情况下还特瘦	2
糖尿病人尿液发黑怎么回事	2
糖尿病晚上老是失眠怎回事	2
Ⅱ型糖尿病如何鉴别	0
糖尿病患者可以吃燕窝吗	3
高血压糖尿病可以吃鸡肉吗	3
长期吃二甲双胍缓释片的危害	1
糖尿病肾病临死前痛苦吗	5
糖尿病可以吃饼干吗	3
糖尿病患者眼睛充血疼痛	1
糖尿病会引起后背压迫感吗	4
多吃甘蔗会得糖尿病吗	2
51岁的中年糖尿病妇女适合服用诺和龙吗	1
糖尿病能吃菠萝蜜吗	3
糖尿病人为什么不能吃淀粉	3
糖尿病足有哪些临床症状？	0
橄榄油糖尿病人能吃吗	3
糖尿病患者出现头晕手脚发麻没劲是怎么回事	2
糖尿病酮症需要经常验尿吗	2
2型糖尿病会发展为1型吗	5
糖尿病患者应该注意哪些饮食	3
糖尿病与牙周炎和牙龈萎缩怎么办	1
糖尿病能每天吃蛋黄吗	3
多年糖尿病影响性功能吗	5
糖尿病脚发干发痒怎么办	1
为什么糖尿病患者低血糖更危险	2
糖尿病患者喝汤好吗	3
高血糖糖尿病能吃什么水果	3
糖尿病豆腐脑能喝吗	3
糖尿病人脚肿周围於血怎么回事	2
糖尿病患者易患肺结核的原因	2
吃消渴丸对糖尿病患者有何作用	1
青柠檬炖鸡怎么做才能治疗糖尿病	1
糖尿病人可以吃薏米和赤小豆吗	3
糖尿病可以献血浆吗	2
请问糖舒宁胶囊治疗糖尿病效果怎么样	1
糖尿病下肢皮肤发黑是怎么回事	2
妊娠糖尿病适合顺产吗	2
肉苁蓉糖尿病人能用吗	1
糖尿病人是缺铁性贫血怎么补血	1
糖尿病人经常半夜胃疼是怎么回事	2
糖尿病患者可以熬夜吗	3
糖尿病人可服蜂王浆吗	3
糖尿病全身浮肿能治愈吗	1
糖尿病患者不能空腹吃什么	3
糖尿病患者总是吃不胖怎么回事	2
糖尿病能吃铁皮枫斗吗	1
爱吃甜食会引起糖尿病吗	5
糖尿病眼病初期症状	2
2型糖尿病可以吃猪胰吗	3
吃太多糖会得糖尿病吗	2
糖尿病人怎样才能长胖	2
糖尿病适合什么时候运动	3
I型糖尿病可以吃哪些水果	3
得了糖尿病后阴茎变得短小不知道吃什么药好	1
糖尿病人上火了吃什么药	1
糖尿病人口里生疮一直不好	1
糖尿病人怎样降血糖	1
糖尿病患者能吃熟花生米吗	3
糖尿病心慌气短胸闷浑身无力怎么办	1
引起糖尿病的原因	2
糖尿病的病人一直呕吐不止是什么原因	2
血糖高能吃海鲜吗	3
糖尿病人能不能吃海参	3
糖尿病患者为什么容易发生尿路感染	2
糖尿病人可以喝排骨海带汤吗	3
超市的无糖食品糖尿病的人可以吃吗	3
糖尿病能吃人参吗	3
孩子脐带血能治糖尿病吗	1
糖耐量检查是什么	0
糖尿病患者能不能喝红豆杉	3
5岁儿童糖尿病能活多大	2
糖尿病人能吃尿毒清颗粒吗	1
糖尿病能吃腐竹吗	3
糖尿病人总放屁是什么原因	2
儿童患1型糖尿病能活多久	5
血糖26很严重吗	0
糖尿病能做膀胱灌注吗	1
常常出汗会不会是糖尿病	0
糖尿病皮肤感染能喝牛奶吗	3
糖尿病能喝野蜂蜜水吗	3
蛋白尿是糖尿病引起的吗	2
糖尿病可以吃西红柿吗	3
孩子有糖尿病怎么办	1
请问糖尿病引起的眼肌麻痹如何治疗啊	1
糖尿病脚麻是很严重的吗	1
酸奶糖尿病人能喝吗	3
糖尿病口干口苦怎么办	1
得了急性会厌炎的糖尿病人怎么医治	1
糖尿病患者属于血液病吗	2
糖尿病人腰酸怎么回事	2
糖尿病容易缺什么维生素	4
糖尿病能吃铁棍山药吗	3
糖尿病是否会引起心脏减速	4
果糖能给糖尿病人用吗	3
糖尿病会肝痛吗	4
57岁有糖尿病能吃炒熟的白芝麻粉吗	3
饥饿，口渴，多尿是糖尿病症状吗	0
尿检能查出糖尿病吗	0
糖尿病酮症酸中毒最典型早期表现	0
1型糖尿病病人能不能吃果丹皮话梅肉	3
糖尿病能不能吃黄瓜	3
糖尿病患者能做骨盆手术吗	1
糖尿病肾病失明还能活多久	5
糖尿病能吃鲫鱼汤吗	3
糖尿病可以做包皮手术吗	1
糖尿病早期发现蛋白尿能控制吗	1
1型糖尿病病人能不能吃脆枣	3
糖尿病人可以吃西柚吗	3
糖尿病人感到饿的时候血糖是高还是低	2
糖尿病能喝速溶咖啡吗	3
糖尿病人可以吃大青枣子吗	3
糖尿病患者得了灰指甲怎么办	1
糖尿病肾病能吃桔子吗	3
糖尿病会引起双手冰凉吗	4
B型糖尿病可以服用阿法骨化醇胶丸吗	1
二甲双胍片什么时间吃最好	1
什么是酮症酸中毒	2
糖尿病胃轻瘫能活多久	5
多吃糖会导致糖尿病吗	2
糖尿病人该怎么吃水果	3
2型糖尿病可以办理慢性病么	5
糖尿病可以喝玉米粥吗	3
吃桑海胶囊可治糖尿病吗、	1
胰腺转化糖尿病怎么办	1
糖尿病并发症对肾的影响	4
大生化能查出糖尿病吗	0
高血压药和糖尿病药可以一起吃吗	1
糖尿病的早期症状	0
肥胖的人更容易患糖尿病吗	2
补充维生素D对糖尿病有帮助吗	2
糖尿病能吃皮蛋吗	3
吃饭后2小时血糖为22.8是糖尿病吗	0
糖尿病能吃苹果和梨吗	3
糖尿病人月经期可以喝红糖水吗	3
糖尿病人脚上起茧子怎么办	1
糖尿病人骨折能愈合吗	2
得了糖尿病的人不能吃什么水果	3
糖尿病与感染的关系如何	2
糖尿病会引起肺结节吗	4
糖尿病犯低血糖怎么办	1
肺癌糖尿病人能吃虾吗	3
糖尿病可以吃肉包吗	3
甘精胰岛素的使用方法有哪些？	1
糖尿病人能用激素吗	5
得了糖尿病的人能喝蜜糖水吗	3
血糖6.3和低压60正常吗?	0
l型糖尿病血糖忽高忽低什么情况	0
高血压糖尿病人可以埋线治疗么	1
糖尿病患者出现头疼是什么原因	2
糖尿病会尿蛋白吗	4
8个月的孕妇检查出来有糖尿病怎么办	1
胰岛素分泌不足的原因	2
血糖低能不能喝茶	3
膀胱癌是糖尿病患者请问如何治疗	1
胡萝卜含糖量高吗糖尿病人能吃吗	3
为什么糖尿病患者口渴	2
糖尿病人能吃银耳吗	3
炒西瓜皮糖尿病人可吃吗	3
1型糖尿病会遗传给下一代么	2
糖尿病人能吃黑豆吗	3
高血压糖尿病人喝什么茶最好	3
吃过早餐，检查出血糖是8.9是糖尿病吗	0
糖尿病脸发麻怎么回事	2
2型糖尿病头晕怎么办	1
糖尿病筛查孕妇一定要做吗	0
糖尿病病人能否补充雌激素	5
糖尿病人能吃辣吗	3
糖尿病人呕吐是什么原因	2
二型糖尿病怀孕会遗传给孩子吗	2
糖尿病患者能不能泡脚	5
糖尿病并发肾炎综合症，如何治疗	4
血糖长期10mmol/L左右的危害有哪些	2
糖尿病患者主食吃什么	3
糖尿病孕妇可以刨腹产吗	2
三九胃泰适合糖尿病人吃吗	1
糖尿病人可以吃白萝卜吗	3
空腹血糖7.7严重吗	0
糖尿病会诱发青光眼吗	4
妊娠期糖尿病能吃什么零食	3
糖尿病人可以吃葛根粉吗	3
糖尿病引起的性功能下降怎么治疗	1
1型糖尿病病人可以吃木糖醇月饼么	3
糖尿病人贫血是什么引起的	2
糖尿病人可以吃巧克力吗	3
6岁的孩子得了糖尿病，最好的治疗办法是	1
56岁的老人有高血压糖尿病，最近吃什么	3
吃西瓜容易得糖尿病吗	2
糖尿病患者能每天吃一个鸡蛋吗	3
糖尿病能不能做果酸换肤	5
糖尿病会引起双腿酥软无力，行走困难吗	4
石榴是升血糖还是降血糖的	3
把米饭改成燕麦，对糖尿病有改善吗	3
你好，糖尿病人能吃高丽参吗	1
糖尿病能哺乳吗	2
糖尿病人喝藏红花泡的水有功效吗	3
糖尿病会导致月经不调吗	4
本人59岁,男性糖尿病3年可以吃红薯吗	3
糖尿病引发的鱼磷病怎么办	1
糖尿病人喝完酒为什么血糖会低	2
糖尿病瘦的快怎么办	1
糖尿病病友要怎样保持好运动	3
爱宅的人为什么容易患糖尿病	5
高血压糖尿病人股骨裂能手术吗	1
顽固性糖尿病怎么办	1
糖尿病人睡电褥子血糖是不是会升高	2
糖尿病人感冒，能不能吃莲花清瘟胶囊	1
不饿不渴血糖高是糖尿病吗	0
糖尿病足癣用什么药治	1
大人有糖尿病,小孩子就一定会有吗	2
糖尿病人可以洗冷水洗澡吗	5
糖尿病可吃鸡鸭吗	3
餐后2小时血糖9.0很高吗	0
血糖单位是什么	2
1型糖尿病低血糖怎么办	1
长期生气会得糖尿病吗	2
糖尿病烂脚后大小便失禁是怎么回事	2
二型糖尿病龟头炎怎么治疗	1
糖尿病可喝菊花茶吗	3
糖尿病患者老是低血糖是什么原因	2
请问糖尿病会影响性生活吗	2
糖尿病的病人腿浮肿怎么办	1
糖尿病筛查和唐氏筛查是一个吗	0
多年糖尿病血糖控制不好怎么办	1
糖尿病能吃油条吗	3
糖尿病带泵一天多少钱	5
1型糖尿病患者影响生育吗	2
糖尿病能吃韭黄鸡蛋吗	3
羊奶对糖尿病有好处吗	3
糖尿病患者是否能做胆结石手术	1
糖尿病是吃降糖药好还是打胰岛素好	1
患有糖尿病能吃盐酸度罗西汀吗	1
糖尿病为什么不能吃稀饭	2
Ⅱ型糖尿病服哪种药	1
血糖仪价格	5
糖尿病能跳绳吗	3
糖尿病人能否喝蜂蜜	3
糖尿病能吃猪皮吗	3
你好，糖尿病一天几次小便	5
糖尿病浑身都疼怎么办	1
糖尿病肾病可以吃芸豆吗	3
糖尿病人能喝不加蔗糖的饮料吗	3
单纯的消瘦，没有其他症状会是糖尿病吗	0
有糖尿病的人能生小孩吗	2
二型糖尿病肥胖原因	2
糖尿病怎么控制饮食	3
糖尿病人为什么会血糖升高的情况	2
糖尿病可以喝椰子水吗	3
糖尿病人眼底病变可逆吗	5
82岁糖尿病，打胰岛素好，还是吃药好	1
今天我的血糖为18.1是糖尿病吗	0
厚德蜂胶真能治糖尿病吗	1
糖尿病可以种植牙吗	2
糖尿病感冒不易好吗	5
小米粥升血糖吗	3
2型糖尿病人可以吃木糖醇无糖口香糖吗	3
糖尿病会引起手麻手痛吗	4
您好，请问糖尿病能吃柚子吗	3
糖尿病能吃猪肝吗？	3
糖尿病患者出现呕吐变瘦流汗	1
糖尿病生吃大蒜好吗	3
hba1c正常值范围	2
糖尿病晚期引发的眼睛白内障怎么办	1
糖尿病人可以吃榛子吗	3
糖尿病人能服用甘草片吗	3
宝宝得了糖尿病前期症状是什么	2
糖尿病眼部疾病会导致失明吗	4
糖尿病人突然血糖低了怎么办	1
糖尿病患者最近特别头迷糊眼睛疼是怎么回	2
2型糖尿病能引起尿毒症吗	4
高血压糖尿病能否吃肉	3
含羞草治糖尿病有多大效果	1
7.9血糖是几型糖尿病	0
常吃红薯是不是可以导致糖尿病	2
糖尿病会使皮肤痛吗	4
糖尿病患者为什么失明	2
糖尿病的诊断标准	0
得了2型糖尿病多久会死	5
糖尿病会引起胃寒吗	4
拔血罐能治疗糖尿病吗	1
糖尿病病人能不能吃猕猴桃	3
宝宝天天吃水果会得糖尿病吗	3
小孩糖尿病要住院多久	2
二型糖尿病可以献血吗	5
冠心病和糖尿病可以吃什么	3
糖尿病肌酐高用什么药	1
空腹测量血糖值7.5是不是糖尿病	0
糖尿病患者能不能吃玉米	3
得了妊娠糖尿病会有什么症状	0
糖尿病打胰岛素饭后打行吗？	1
糖尿病可以吃三文鱼吗	3
30岁得糖尿病,能活到70岁吗	5
白果炖鸡糖尿病人能吃吗	3
检测糖尿病挂什么科室	5
糖尿病乳酸酸中毒治疗	1
糖尿病并发大便失禁的治疗	1
糖尿病能不能吃炸酱面	3
糖尿病人容易犯困吗	4
糖尿病会引发高烧吗	4
糖尿病大腿内侧痛的原因是什么	2
2型糖尿病不吃早餐可以吗？	2
吃玉米对糖尿病有缓解作用吗	3
2型糖尿病人最适合吃什么药	1
6.31这个血糖指数是否为糖尿病	0
二型糖尿病人能吃糯玉米吗	3
糖尿病人怎样更快降糖	2
糖尿病患者服药期间可以打乙肝疫苗吗	2
铜症酸中毒一定是糖尿病的吗	0
二型糖尿病并发症能活多久	4
糖尿病人患心脏病可以做心脏搭桥术么	1
糖尿病患者能吃狗肉吗	3
糖尿病人能吃竹笋吗	3
吃杨桃治糖尿病吗	3
糖尿病，胆结石，可以做胆结石的手术吗	1
糖尿病大便特疼怎么办	1
糖尿病是由肠胃问题引起的吗	2
糖尿病人会经常引发月经失调吗	4
2型糖尿病能做胃流转手术吗	1
血糖高能吃洋葱吗	3
血糖5.4正常吗	0
糖尿病足创口可以涂紫药水吗	1
请问糖尿病人可以吃三九胃泰吗	1
2型糖尿病可以好转吗治疗不好的话，还	2
红薯含糖量高吗糖尿病人可以吃吗	3
30岁糖尿病多久会出现并发症	4
糖尿病为什么会引起逆行射精	2
糖尿病患者可以吃维生素c片吗	1
老年人得了糖尿病怎么办	1
儿童糖尿病患者能补钙吗	5
妊娠糖尿病患者怎么治疗口腔溃疡	1
糖尿病能吃烤鸭吗	3
糖尿病人经常便秘吃什么药好	1
糖尿病患者可以吃荸荠吗	3
糖尿病造成的原因	2
糖尿病会感染吗	4
糖尿病人可以吃小红萝卜吗	3
妊娠糖尿病怎么引起的	2
糖尿病人能喝蜂蜜吗	3
糖尿病人喝咖啡会升高血糖吗	3
糖尿病甘油三酯高怎么办	1
奥利康能治糖尿病吗	1
50岁有糖尿病血糖值2.3毫摩尔是怎么样	5
Ⅰ型糖尿病吃什么药最好	1
黑棘病是糖尿病吗	2
2型糖尿病人用胰岛素后可以改口服降糖药吗	1
70岁糖尿病一天吃什么	3
糖尿病患者能否要第二个孩子	2
糖尿病病人能吃枸杞子吗	3
糖尿病人的尿是甜的吗	2
糖尿病病人可以吃沐舒坦	1
产检糖尿病筛查怎么做	0
糖尿病会有眼病吗	4
糖尿病孕妇能吃草莓吗	3
糖尿病人瘦好还是肥好	5
糖尿病如何预防胰腺癌	4
常喝蒲公英水能治糖尿病吗	1
糖尿病可以吃番石榴吗	3
参花消渴茶可以治疗糖尿病吗	1
糖尿病感冒吃什么药	1
糖尿病人腹部胀气肚子疼怎么回事	2
糖尿病人为什么腿怕冷	2
二甲双胍是否适用于因糖尿病引起视力模糊	1
糖尿病要终生打胰岛素吗	1
严重糖尿病怎么办	1
糖尿病手脚关节酸疼僵硬是怎么回事	2
58岁，男，越来越瘦，是糖尿病症状吗	0
糖尿病患者伤口溃烂怎么办	1
糖尿病人为什么肌肉萎缩	2
糖尿病人咳嗽可以吃哪种消炎药	1
糖尿病人容易得骨质疏松吗	4
由糖尿病引发的眼底出血有什么症状	0
妊娠期糖尿病会造成羊水少吗	4
糖尿病人可以吃莲雾吗	3
血糖6.4算不算是糖尿病？	0
糖尿病引起黄斑水肿最佳治疗方法	1
糖尿病一个疗程多少钱	5
糖尿病可以吃桃胶吗	3
糖尿病人脚发麻,走路可以吗	2
糖尿病人腿抽筋是怎么回事	2
Ⅱ型糖尿病用什么药平稳降糖	1
糖尿病患者身体局部瘙痒用什么药合适	1
妊娠期糖尿病能吃毛豆烧肉吗	3
糖尿病人血液循环不好影响性功能吗	2
糖尿病眼底病变可以吃二甲双瓜吗	1
糖尿病患者伤口不闭合怎么办	1
血糖高吃什么好的快	3
糖尿病人牙出血是什么病的前兆	0
糖尿病携有胆结石患者怎样可以很快的稳定	1
糖尿病人能服用罗红霉素类药物吗	1
儿童得糖尿病后对智力有没有影响	5
糖尿病人为什么只有早餐后血糖高	2
水果吃多了会得糖尿病吗	2
糖尿病的预防	4
糖尿病人爱忘事是什么原因	2
糖尿病人可以喝杜仲泡水喝吗	3
糖尿病人能不能吃猪肝	3
石斛可以降血糖血压吗	3
糖尿病能喝鱼汤吗	3
空腹测血糖能喝水吗	0
糖尿病人眼底出血导致视物模糊怎么办	1
糖尿病可以喝什么粥	3
吃牛肉对糖尿病有没有影响	3
蜂胶降血糖吗	3
妊娠糖尿病可以吃蛋黄酥吗	3
怎么确定得了糖尿病	0
糖尿病低血糖值是多少	0
糖尿病可以吃鲈鱼吗	3
女性糖尿病人可以要孩子吗	2
糖尿病会会引起手发麻没力吗	4
验血糖多少钱	5
糖尿病病人可以吃菠萝味的面包么	3
为什么糖尿病人夜尿频	2
高血压和糖尿病能吃猪肉吗	3
糖尿病血糖控制在多少范围可接受	0
药饭前吃还是饭后吃	1
多大岁数容易得糖尿病	2
胆切除手术后糖尿病人怎么饮食	3
糖尿病发胖怎么办	1
得了糖尿病可以吃番薯吗	3
糖尿病人长期吃荞麦面可以吗	3
糖尿病间歇性跛行是由于什么引起	2
2型糖尿病可以吃什么	3
